Movies,Owner
El Chicano, sam 
Long Shot,alex
The Intruder,sam
UglyDolls,jacob
Pokémon: Detective Pikachu A,john
Pokémon: Detective Pikachu B,alex
Poms,jake
The Hustle,jacob
A Dog’s Journey,curtis
John Wick: Chapter 3 — Parabellum,curtis
The Sun is Also a Star,sam
Ad Astra,jacob
Aladdin A,curtis
Aladdin B,michael
Booksmart,jacob
BrightBurn,alex
Godzilla: King of the Monsters,brian
MA,curtis
Rocketman,jake
Dark Phoenix A,jacob
Dark Phoenix B,john
Late Night,sam
The Secret Life of Pets 2 A,brian
The Secret Life of Pets 2 B,trevor
Men in Black: International,curtis
Shaft,sam
Anna,sam
Child’s Play,alex
Kursk,sam
Toy Story 4 A,jake
Toy Story 4 B,nathan
Annabelle Comes Home,michael
Yesterday,trevor
Spider-Man: Far From Home A,michael
Spider-Man: Far From Home B,jacob
Spider-Man: Far From Home C,john
21 Bridges,jake
Crawl,sam
Stuber,michael
The Lion King A,trevor
The Lion King B,alex
The Lion King C,alex
The Lion King D,john
Once Upon a Time in Hollywood,nathan
The Boy 2,sam
Dora and the Lost City of Gold,michael
Fast & Furious Presents: Hobbs & Shaw,nathan
The New Mutants,sam
Artemis Fowl,trevor
Brian Banks,trevor
Scary Stories to Tell in the Dark,michael
The Kitchen,john
Blinded by the Light,sam
The Angry Birds Movie 2 A,trevor
The Angry Birds Movie 2 B,sam
47 Meters Down: The Next Chapter,sam
Good Boys,michael
PLAYMOBIL,nathan
The Informer,nathan
Where’d You Go Bernadette,brian
Angel Has Fallen,jake
Overcomer,jacob
Ask Dr. Ruth,sam
Bardo Blues,john
Dead Trigger,john
Meeting Gorbachev,john
Room for Rent,nathan
Tell it to the Bees,michael
Fearless Faith,john
Wine Country,curtis
All Creatures Here Below,nathan
All is True,jake
Daughter of the Wolf,jake
Student of the Year 2,curtis
The Biggest Little Farm,jake
The Professor and the Madman,jake
Tolkien,brian
Shaun the Sheep Movie: Farmageddon,curtis
Meanest Man in Texas,michael
Trial by Fire,brian
Walking on Water,brian
No Doubt,brian
The Tomorrow Man,brian
Echo in the Canyon,brian
The Spy Behind Home Plate,brian
The Last Black Man in San Francisco,brian
Round of Your Life,sam
Cowboy Ninja Viking, sam 
